epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,717.05,0.64768,0.41157,1.01679,0.95128,0.9639,0.98651,0.84364,0.63842,0.31672,1.05902,0.000882223,0.000882223,0.000882223
106,726.906,0.62738,0.3805,1.0034,0.971,0.95543,0.98562,0.85886,0.62251,0.32228,1.01858,0.000880023,0.000880023,0.000880023
107,736.699,0.64429,0.40367,1.01483,0.97797,0.97306,0.98852,0.85715,0.62746,0.30213,1.01942,0.000877823,0.000877823,0.000877823
108,746.616,0.65015,0.39669,1.01747,0.95116,0.94659,0.97747,0.85102,0.61062,0.35623,1.02217,0.000875624,0.000875624,0.000875624
109,756.526,0.6497,0.40253,1.01121,0.98392,0.97304,0.98527,0.86115,0.61435,0.30243,1.01502,0.000873424,0.000873424,0.000873424
110,766.341,0.65209,0.38823,1.01897,0.97887,0.97119,0.99011,0.85406,0.62944,0.29138,1.04213,0.000871224,0.000871224,0.000871224
111,776.118,0.62937,0.37682,1.00124,0.98541,0.97519,0.9889,0.86042,0.61056,0.28426,1.00908,0.000869024,0.000869024,0.000869024
112,785.775,0.63654,0.39446,1.01711,0.9358,0.95472,0.97916,0.83528,0.66362,0.35519,1.06371,0.000866824,0.000866824,0.000866824
113,795.627,0.63606,0.39173,1.00884,0.98177,0.98076,0.98941,0.86547,0.58873,0.2782,0.99643,0.000864625,0.000864625,0.000864625
114,805.451,0.62865,0.37683,1.01237,0.98011,0.9852,0.99151,0.87305,0.60251,0.26824,1.00255,0.000862425,0.000862425,0.000862425
115,815.324,0.63791,0.39269,1.01072,0.97293,0.98525,0.98808,0.85531,0.63131,0.28877,1.03495,0.000860225,0.000860225,0.000860225
116,825.124,0.63496,0.38962,1.01123,0.9754,0.9714,0.98795,0.85318,0.62125,0.29936,1.00845,0.000858025,0.000858025,0.000858025
117,834.961,0.61958,0.39019,1.00931,0.98013,0.9709,0.98912,0.86406,0.59705,0.28927,1.00194,0.000855826,0.000855826,0.000855826
118,844.632,0.60713,0.38246,0.99978,0.97775,0.96735,0.98873,0.85539,0.60423,0.28958,1.0005,0.000853626,0.000853626,0.000853626
119,854.318,0.61573,0.38878,0.99696,0.96904,0.93374,0.98525,0.86295,0.58965,0.32085,0.99987,0.000851426,0.000851426,0.000851426
120,863.953,0.63779,0.41581,1.01225,0.94509,0.97825,0.98704,0.85931,0.61468,0.31941,1.01188,0.000849226,0.000849226,0.000849226
121,873.788,0.62717,0.40979,1.01752,0.94615,0.90525,0.97503,0.81081,0.72266,0.43696,1.14712,0.000847026,0.000847026,0.000847026
122,883.881,0.60469,0.38632,0.98643,0.98426,0.97659,0.98943,0.86371,0.60835,0.28678,1.00969,0.000844827,0.000844827,0.000844827
123,893.666,0.64876,0.4047,1.02345,0.99034,0.97835,0.98962,0.86455,0.60631,0.27962,1.00113,0.000842627,0.000842627,0.000842627
124,903.38,0.64059,0.39906,1.01885,0.97531,0.96072,0.98925,0.864,0.61758,0.31585,1.01159,0.000840427,0.000840427,0.000840427
125,913.131,0.6255,0.38677,1.00536,0.9846,0.97949,0.98854,0.86643,0.60152,0.28488,1.0006,0.000838227,0.000838227,0.000838227
126,922.906,0.6255,0.39689,1.0103,0.92516,0.95619,0.98554,0.83788,0.66174,0.38448,1.0548,0.000836027,0.000836027,0.000836027
127,932.637,0.62867,0.37711,1.00506,0.91588,0.93798,0.9794,0.806,0.7302,0.41512,1.16217,0.000833828,0.000833828,0.000833828
128,942.462,0.62426,0.38456,1.00088,0.98029,0.97161,0.98918,0.84107,0.65031,0.29521,1.06642,0.000831628,0.000831628,0.000831628
129,952.278,0.60711,0.36215,1.00037,0.97992,0.97373,0.98747,0.828,0.70209,0.32072,1.11909,0.000829428,0.000829428,0.000829428
130,962.002,0.63159,0.37977,1.00785,0.90873,0.93481,0.97645,0.81645,0.68081,0.38213,1.12667,0.000827228,0.000827228,0.000827228
131,971.87,0.61584,0.37923,0.99691,0.98077,0.97662,0.98981,0.87384,0.58397,0.26974,0.98196,0.000825029,0.000825029,0.000825029
132,981.859,0.63292,0.38231,1.00564,0.96188,0.98405,0.99102,0.86168,0.60362,0.28271,1.00686,0.000822829,0.000822829,0.000822829
133,991.64,0.61782,0.37473,0.99505,0.97637,0.98556,0.99197,0.87725,0.59,0.26534,0.99142,0.000820629,0.000820629,0.000820629
134,1001.44,0.60076,0.35683,1.00181,0.98077,0.98037,0.99049,0.86963,0.58541,0.26735,0.99457,0.000818429,0.000818429,0.000818429
135,1011.3,0.64693,0.38398,1.00196,0.98912,0.98225,0.99011,0.87135,0.59644,0.26787,0.99765,0.000816229,0.000816229,0.000816229
136,1020.97,0.62551,0.37573,0.99759,0.95198,0.97784,0.99042,0.87239,0.59167,0.29806,0.99254,0.00081403,0.00081403,0.00081403
137,1030.64,0.61018,0.37745,0.99589,0.97915,0.97909,0.99167,0.86772,0.59398,0.26761,1.00147,0.00081183,0.00081183,0.00081183
138,1040.23,0.59954,0.36406,0.99344,0.97473,0.96673,0.98985,0.86891,0.60342,0.28518,1.00717,0.00080963,0.00080963,0.00080963
139,1049.93,0.62618,0.3752,1.00922,0.96246,0.96166,0.98619,0.86113,0.604,0.33121,1.00309,0.00080743,0.00080743,0.00080743
140,1059.74,0.60123,0.36953,0.99569,0.97837,0.96456,0.98536,0.86248,0.59448,0.3132,0.99301,0.000805231,0.000805231,0.000805231
141,1069.5,0.60239,0.35803,0.99979,0.97478,0.97754,0.98981,0.86643,0.60308,0.28216,1.01501,0.000803031,0.000803031,0.000803031
142,1079.28,0.60571,0.37192,0.99795,0.97387,0.95658,0.98714,0.86554,0.59435,0.29881,0.99178,0.000800831,0.000800831,0.000800831
143,1088.89,0.6148,0.36708,0.99809,0.9794,0.97603,0.98855,0.85725,0.60753,0.29101,0.99638,0.000798631,0.000798631,0.000798631
144,1098.53,0.60963,0.36286,0.99745,0.98083,0.98771,0.99055,0.86613,0.60827,0.27712,1.00251,0.000796431,0.000796431,0.000796431
145,1108.05,0.60109,0.35735,0.99536,0.95957,0.97464,0.98977,0.86891,0.61348,0.29781,1.00023,0.000794232,0.000794232,0.000794232
146,1117.82,0.60814,0.36642,1.00665,0.95312,0.95723,0.98846,0.84941,0.63317,0.3315,1.04085,0.000792032,0.000792032,0.000792032
147,1127.72,0.60858,0.36043,0.99295,0.94851,0.97843,0.98408,0.85859,0.59335,0.30509,1.00218,0.000789832,0.000789832,0.000789832
