epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,706.293,0.81201,0.72319,1.39193,0.96344,0.95753,0.98642,0.7774,0.85197,0.45298,1.39832,0.000968014,0.000968014,0.000968014
67,716.633,0.78603,0.6908,1.36709,0.95473,0.97591,0.98334,0.80679,0.76556,0.43438,1.30635,0.000965815,0.000965815,0.000965815
68,726.769,0.80074,0.71882,1.37967,0.96446,0.95941,0.98622,0.80685,0.7813,0.42854,1.3118,0.000963615,0.000963615,0.000963615
69,737.089,0.79377,0.71718,1.37374,0.97328,0.93487,0.98338,0.79003,0.7883,0.42894,1.32891,0.000961415,0.000961415,0.000961415
70,747.702,0.79228,0.67189,1.36604,0.96509,0.96855,0.98303,0.81006,0.76769,0.41156,1.30041,0.000959215,0.000959215,0.000959215
71,758.268,0.77598,0.70159,1.35796,0.95141,0.9375,0.98277,0.79851,0.77442,0.45422,1.33478,0.000957015,0.000957015,0.000957015
72,768.394,0.79366,0.70371,1.39859,0.95597,0.9635,0.98795,0.79721,0.80174,0.45494,1.35209,0.000954816,0.000954816,0.000954816
73,778.783,0.7661,0.65531,1.34182,0.95234,0.9593,0.98546,0.79769,0.79369,0.41284,1.32404,0.000952616,0.000952616,0.000952616
74,789.501,0.77714,0.63082,1.35116,0.9786,0.96379,0.987,0.78558,0.83321,0.3994,1.3641,0.000950416,0.000950416,0.000950416
75,800.12,0.77076,0.65052,1.35366,0.96837,0.95406,0.98533,0.78437,0.8376,0.43251,1.3641,0.000948216,0.000948216,0.000948216
76,810.212,0.79984,0.69492,1.3751,0.97876,0.97383,0.98727,0.80948,0.76199,0.3983,1.31179,0.000946016,0.000946016,0.000946016
77,820.407,0.77789,0.6793,1.35702,0.97104,0.97192,0.9872,0.7592,0.92524,0.43316,1.4691,0.000943817,0.000943817,0.000943817
78,830.958,0.7766,0.68296,1.35025,0.96555,0.97703,0.98593,0.80414,0.77303,0.40707,1.32555,0.000941617,0.000941617,0.000941617
79,841.534,0.75531,0.6242,1.32766,0.96248,0.97169,0.9849,0.80501,0.7795,0.42119,1.32563,0.000939417,0.000939417,0.000939417
80,851.896,0.74276,0.61694,1.32331,0.96224,0.98012,0.98701,0.81612,0.74826,0.3959,1.28805,0.000937217,0.000937217,0.000937217
81,861.881,0.75857,0.64549,1.33255,0.94271,0.97989,0.98681,0.78585,0.82949,0.42209,1.34711,0.000935018,0.000935018,0.000935018
82,872.038,0.75976,0.63388,1.34874,0.98126,0.97398,0.98862,0.79848,0.81039,0.39534,1.35235,0.000932818,0.000932818,0.000932818
83,882.766,0.76536,0.66439,1.35296,0.98309,0.95925,0.98902,0.81243,0.76319,0.3829,1.31554,0.000930618,0.000930618,0.000930618
84,893.485,0.74425,0.65545,1.32653,0.95232,0.97739,0.98361,0.80211,0.79637,0.40675,1.33473,0.000928418,0.000928418,0.000928418
85,903.533,0.76044,0.63314,1.33793,0.98455,0.95598,0.98482,0.81252,0.74051,0.39115,1.27711,0.000926218,0.000926218,0.000926218
86,913.749,0.7768,0.6673,1.35432,0.98249,0.96694,0.98847,0.78485,0.8471,0.39909,1.40026,0.000924019,0.000924019,0.000924019
87,924.452,0.76931,0.62469,1.35724,0.97851,0.95067,0.9868,0.82274,0.7332,0.38844,1.27398,0.000921819,0.000921819,0.000921819
88,934.91,0.74432,0.60126,1.31222,0.98617,0.95965,0.98544,0.7758,0.86998,0.42876,1.42892,0.000919619,0.000919619,0.000919619
89,945.172,0.73092,0.59582,1.31635,0.96035,0.96756,0.98842,0.80378,0.77138,0.38692,1.31946,0.000917419,0.000917419,0.000917419
90,955.737,0.75843,0.64268,1.33788,0.97211,0.96616,0.98789,0.81829,0.72638,0.39187,1.27385,0.00091522,0.00091522,0.00091522
91,966.154,0.75664,0.62412,1.34032,0.9546,0.94314,0.98221,0.81245,0.74475,0.41766,1.29718,0.00091302,0.00091302,0.00091302
92,976.776,0.76811,0.66328,1.34039,0.97327,0.98162,0.98863,0.81772,0.71854,0.36206,1.27597,0.00091082,0.00091082,0.00091082
93,987.034,0.7553,0.61948,1.33679,0.98659,0.98258,0.99028,0.81224,0.78034,0.38455,1.3311,0.00090862,0.00090862,0.00090862
94,996.997,0.75608,0.60395,1.33083,0.94731,0.93963,0.98607,0.80327,0.76872,0.41177,1.31051,0.00090642,0.00090642,0.00090642
95,1007.38,0.73306,0.58621,1.32123,0.985,0.97459,0.98775,0.79427,0.82727,0.39646,1.37675,0.000904221,0.000904221,0.000904221
96,1018.22,0.73889,0.60799,1.32249,0.9609,0.97244,0.98262,0.79489,0.75862,0.41472,1.31736,0.000902021,0.000902021,0.000902021
97,1028.6,0.73716,0.58862,1.31921,0.984,0.97586,0.98809,0.81541,0.7388,0.37534,1.30439,0.000899821,0.000899821,0.000899821
98,1038.65,0.75275,0.59778,1.33293,0.97426,0.96027,0.98626,0.78517,0.83937,0.40224,1.38309,0.000897621,0.000897621,0.000897621
99,1048.91,0.74328,0.60563,1.32543,0.96687,0.96596,0.98655,0.78933,0.81211,0.41464,1.36311,0.000895422,0.000895422,0.000895422
100,1059.63,0.75735,0.62605,1.32968,0.97458,0.94412,0.98466,0.80971,0.75913,0.40529,1.30763,0.000893222,0.000893222,0.000893222
101,1070.23,0.74287,0.60181,1.32115,0.95184,0.96631,0.98829,0.80825,0.79495,0.39309,1.33851,0.000891022,0.000891022,0.000891022
102,1080.37,0.7476,0.59405,1.30972,0.98534,0.96767,0.98747,0.81699,0.7573,0.37005,1.30418,0.000888822,0.000888822,0.000888822
103,1090.16,0.7338,0.60336,1.30896,0.94141,0.95251,0.98478,0.80011,0.78088,0.42505,1.32185,0.000886622,0.000886622,0.000886622
104,1100.64,0.74504,0.63694,1.31421,0.96954,0.94719,0.98529,0.8003,0.78639,0.38881,1.34677,0.000884423,0.000884423,0.000884423
105,1111.39,0.71277,0.60595,1.3031,0.97444,0.94774,0.9883,0.8101,0.77993,0.39365,1.31958,0.000882223,0.000882223,0.000882223
106,1121.86,0.74526,0.60134,1.31509,0.99103,0.96894,0.98826,0.82363,0.7233,0.35857,1.26483,0.000880023,0.000880023,0.000880023
107,1132.05,0.7484,0.57758,1.33138,0.97467,0.97083,0.98808,0.80783,0.78174,0.36942,1.33158,0.000877823,0.000877823,0.000877823
108,1142.62,0.73277,0.61825,1.32016,0.95985,0.98172,0.99,0.78684,0.83447,0.39546,1.38877,0.000875624,0.000875624,0.000875624
109,1153.4,0.72505,0.59335,1.31726,0.96469,0.9737,0.98896,0.80369,0.77083,0.37413,1.31312,0.000873424,0.000873424,0.000873424
110,1163.68,0.74155,0.61822,1.31176,0.97457,0.98255,0.98813,0.78037,0.86283,0.38763,1.4244,0.000871224,0.000871224,0.000871224
111,1173.77,0.75407,0.60856,1.33701,0.98118,0.94671,0.98604,0.80902,0.76347,0.37643,1.29607,0.000869024,0.000869024,0.000869024
112,1183.82,0.72798,0.5744,1.31412,0.98103,0.95602,0.98819,0.807,0.78988,0.39628,1.30987,0.000866824,0.000866824,0.000866824
113,1194.34,0.74463,0.58635,1.30572,0.98538,0.97813,0.98831,0.80895,0.77787,0.35944,1.32795,0.000864625,0.000864625,0.000864625
114,1204.68,0.73497,0.58118,1.30909,0.97257,0.96199,0.98582,0.82063,0.73434,0.35714,1.25548,0.000862425,0.000862425,0.000862425
115,1215.08,0.71677,0.5974,1.29585,0.97912,0.97522,0.98781,0.80805,0.789,0.35936,1.33627,0.000860225,0.000860225,0.000860225
116,1225.07,0.70816,0.5764,1.29097,0.98857,0.97066,0.98947,0.80528,0.80252,0.3654,1.33742,0.000858025,0.000858025,0.000858025
117,1235.59,0.7172,0.57637,1.29129,0.98489,0.98053,0.98834,0.81636,0.76305,0.36035,1.31191,0.000855826,0.000855826,0.000855826
118,1245.99,0.71945,0.54965,1.2911,0.97452,0.97736,0.98945,0.7904,0.84453,0.37799,1.38743,0.000853626,0.000853626,0.000853626
119,1256.62,0.71568,0.55082,1.2893,0.98742,0.97221,0.98962,0.81828,0.74679,0.34948,1.28694,0.000851426,0.000851426,0.000851426
120,1266.73,0.71987,0.58427,1.29133,0.986,0.96404,0.98499,0.79361,0.81044,0.3734,1.35849,0.000849226,0.000849226,0.000849226
121,1277.06,0.7169,0.55001,1.28406,0.95447,0.94543,0.97941,0.77653,0.84101,0.43265,1.38416,0.000847026,0.000847026,0.000847026
122,1287.49,0.71317,0.5773,1.30128,0.98257,0.97644,0.98745,0.80536,0.79687,0.35687,1.34803,0.000844827,0.000844827,0.000844827
123,1297.85,0.73066,0.57605,1.30429,0.97851,0.95351,0.9883,0.82157,0.71437,0.36853,1.25697,0.000842627,0.000842627,0.000842627
124,1308.27,0.72692,0.58027,1.30063,0.9869,0.96723,0.98764,0.80875,0.77286,0.35509,1.30934,0.000840427,0.000840427,0.000840427
125,1318.62,0.71946,0.56801,1.29311,0.99005,0.98241,0.98894,0.78269,0.86087,0.36783,1.40887,0.000838227,0.000838227,0.000838227
126,1329.04,0.71988,0.5766,1.3029,0.96628,0.96428,0.98269,0.80163,0.78735,0.38607,1.32707,0.000836027,0.000836027,0.000836027
127,1339.49,0.71397,0.58673,1.29644,0.97188,0.98068,0.98575,0.79724,0.80216,0.38587,1.35032,0.000833828,0.000833828,0.000833828
128,1349.21,0.70618,0.56061,1.2844,0.9745,0.9601,0.98864,0.81,0.75494,0.36743,1.2894,0.000831628,0.000831628,0.000831628
129,1359.7,0.70133,0.5654,1.28371,0.97931,0.97593,0.98793,0.80104,0.80634,0.36729,1.3519,0.000829428,0.000829428,0.000829428
130,1370.03,0.71621,0.58276,1.28459,0.98667,0.97039,0.98801,0.80317,0.77596,0.35679,1.35197,0.000827228,0.000827228,0.000827228
131,1380.35,0.71657,0.57337,1.29731,0.98243,0.97061,0.98769,0.81624,0.74711,0.35209,1.29662,0.000825029,0.000825029,0.000825029
132,1390.87,0.71849,0.54295,1.29276,0.97023,0.96437,0.98581,0.79533,0.84175,0.37718,1.4156,0.000822829,0.000822829,0.000822829
133,1401.25,0.68565,0.52062,1.26524,0.98009,0.98019,0.98831,0.81924,0.76884,0.35269,1.3047,0.000820629,0.000820629,0.000820629
134,1411.52,0.74117,0.58226,1.3135,0.97537,0.96349,0.98597,0.81151,0.76891,0.3618,1.31495,0.000818429,0.000818429,0.000818429
135,1421.71,0.7004,0.54662,1.28103,0.97263,0.9695,0.98603,0.80608,0.78915,0.35766,1.33308,0.000816229,0.000816229,0.000816229
136,1432.35,0.70726,0.56213,1.28278,0.97733,0.96702,0.98797,0.82151,0.74994,0.35947,1.27895,0.00081403,0.00081403,0.00081403
137,1442.75,0.72966,0.56169,1.28866,0.97437,0.95178,0.98769,0.82116,0.75243,0.3643,1.28241,0.00081183,0.00081183,0.00081183
138,1453.12,0.68379,0.53489,1.25596,0.9921,0.97353,0.98885,0.80627,0.79037,0.34032,1.33137,0.00080963,0.00080963,0.00080963
139,1463.2,0.69174,0.51076,1.26182,0.97217,0.97445,0.98842,0.80513,0.79075,0.34865,1.34074,0.00080743,0.00080743,0.00080743
140,1473.45,0.70153,0.54145,1.28221,0.98779,0.96938,0.9888,0.80661,0.78251,0.36506,1.34816,0.000805231,0.000805231,0.000805231
141,1483.79,0.69726,0.5307,1.27492,0.97365,0.9736,0.98857,0.7981,0.80346,0.37766,1.36423,0.000803031,0.000803031,0.000803031
142,1494.51,0.69869,0.52918,1.27917,0.97809,0.95367,0.98593,0.8119,0.74722,0.35615,1.29299,0.000800831,0.000800831,0.000800831
143,1504.69,0.68989,0.53447,1.26335,0.98804,0.97743,0.9887,0.81658,0.75253,0.35443,1.29471,0.000798631,0.000798631,0.000798631
144,1514.97,0.66246,0.52542,1.25443,0.97767,0.96832,0.98763,0.78055,0.87661,0.37715,1.45028,0.000796431,0.000796431,0.000796431
