epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,573.024,1.13353,1.27558,1.99672,0.89987,0.89476,0.94755,0.67754,0.99194,0.82405,2.07743,0.000968014,0.000968014,0.000968014
67,582.2,1.12276,1.274,1.96914,0.86115,0.84904,0.92825,0.6575,1.09245,0.90823,2.23553,0.000965815,0.000965815,0.000965815
68,591.02,1.10127,1.23233,1.9416,0.87231,0.81218,0.91825,0.66675,0.98977,0.83826,2.09189,0.000963615,0.000963615,0.000963615
69,599.521,1.11254,1.28688,1.98823,0.91121,0.85791,0.94288,0.68512,0.97692,0.81885,2.07483,0.000961415,0.000961415,0.000961415
70,608.203,1.14018,1.27192,2.00497,0.82789,0.84421,0.92482,0.64723,1.0478,1.04441,2.20273,0.000959215,0.000959215,0.000959215
71,616.514,1.11023,1.28006,1.96663,0.83903,0.87991,0.91601,0.64188,1.11073,0.8915,2.24546,0.000957015,0.000957015,0.000957015
72,624.76,1.09543,1.25621,1.96004,0.91307,0.8559,0.94311,0.67053,1.0187,0.84371,2.10543,0.000954816,0.000954816,0.000954816
73,634.035,1.07901,1.21625,1.95484,0.89947,0.88868,0.94459,0.68703,0.99532,0.77908,2.10693,0.000952616,0.000952616,0.000952616
74,642.996,1.11523,1.22801,1.97129,0.90733,0.87251,0.94931,0.6983,0.97945,0.77489,2.08245,0.000950416,0.000950416,0.000950416
75,651.569,1.10286,1.19851,1.96158,0.88922,0.87123,0.9431,0.68114,0.98434,0.80146,2.07736,0.000948216,0.000948216,0.000948216
76,659.844,1.13813,1.26544,2.00707,0.92933,0.79238,0.91426,0.66203,1.03228,0.83539,2.10128,0.000946016,0.000946016,0.000946016
77,668.019,1.10709,1.21928,1.95962,0.9147,0.86335,0.94694,0.69236,0.97187,0.80211,2.05808,0.000943817,0.000943817,0.000943817
78,676.16,1.1018,1.24317,1.95051,0.89766,0.85954,0.93403,0.68231,0.94528,0.79824,2.02758,0.000941617,0.000941617,0.000941617
79,685.318,1.07599,1.2161,1.93827,0.88975,0.87557,0.93592,0.68151,0.98683,0.78807,2.07694,0.000939417,0.000939417,0.000939417
80,694.413,1.10288,1.19264,1.96322,0.88776,0.84861,0.9407,0.68457,0.95848,0.78567,2.02855,0.000937217,0.000937217,0.000937217
81,702.623,1.08692,1.1953,1.93679,0.92299,0.8433,0.95036,0.69932,0.95116,0.78827,2.02537,0.000935018,0.000935018,0.000935018
82,710.716,1.08706,1.17351,1.93425,0.84105,0.89374,0.94304,0.69109,0.98209,0.76575,2.04991,0.000932818,0.000932818,0.000932818
83,718.636,1.09885,1.19134,1.96891,0.89696,0.86324,0.947,0.70918,0.956,0.75889,2.04376,0.000930618,0.000930618,0.000930618
84,727.262,1.12528,1.25201,1.99547,0.85517,0.85143,0.92451,0.67013,1.00576,0.88726,2.09336,0.000928418,0.000928418,0.000928418
85,736.611,1.07596,1.14874,1.92695,0.90167,0.88514,0.94004,0.69136,0.97174,0.77418,2.0241,0.000926218,0.000926218,0.000926218
86,745.968,1.07456,1.17291,1.93635,0.90627,0.87557,0.93588,0.67233,1.03243,0.87414,2.15242,0.000924019,0.000924019,0.000924019
87,754.952,1.09092,1.18623,1.97752,0.89421,0.86078,0.94483,0.69295,0.94054,0.78269,1.99438,0.000921819,0.000921819,0.000921819
88,763.08,1.0575,1.14379,1.93937,0.93553,0.8439,0.95078,0.68219,1.0213,0.74823,2.09245,0.000919619,0.000919619,0.000919619
89,771.392,1.07934,1.22145,1.90747,0.89531,0.84401,0.94201,0.68607,0.95984,0.77315,2.04109,0.000917419,0.000917419,0.000917419
90,779.833,1.08577,1.17557,1.93675,0.88384,0.86299,0.94784,0.68917,0.99887,0.76196,2.10826,0.00091522,0.00091522,0.00091522
91,788.195,1.08809,1.18712,1.95017,0.8844,0.87169,0.93141,0.64572,1.11581,0.88305,2.25083,0.00091302,0.00091302,0.00091302
92,797.416,1.0737,1.15318,1.90677,0.90463,0.81979,0.94138,0.67818,1.03747,0.80974,2.1451,0.00091082,0.00091082,0.00091082
93,806.441,1.07867,1.19994,1.90937,0.85993,0.8804,0.94345,0.68254,0.9929,0.75311,2.07087,0.00090862,0.00090862,0.00090862
94,814.488,1.08123,1.18119,1.91414,0.94242,0.87775,0.95244,0.70157,0.96519,0.7308,2.03182,0.00090642,0.00090642,0.00090642
95,822.705,1.07562,1.13344,1.91418,0.91184,0.89358,0.9502,0.70053,0.93492,0.73465,1.99627,0.000904221,0.000904221,0.000904221
96,830.92,1.09957,1.13204,1.91847,0.92552,0.883,0.95536,0.70819,0.94496,0.73605,2.02377,0.000902021,0.000902021,0.000902021
97,839.596,1.07008,1.12274,1.88598,0.82783,0.87878,0.93694,0.70237,0.92366,0.77899,1.98462,0.000899821,0.000899821,0.000899821
98,848.876,1.06811,1.15225,1.9244,0.88729,0.90277,0.94762,0.67669,1.01494,0.76843,2.10983,0.000897621,0.000897621,0.000897621
99,857.878,1.08286,1.15805,1.90784,0.88539,0.89152,0.9435,0.6854,1.01132,0.78111,2.13063,0.000895422,0.000895422,0.000895422
100,866.318,1.07021,1.15896,1.89585,0.90058,0.88353,0.95178,0.6931,0.97639,0.75795,2.05482,0.000893222,0.000893222,0.000893222
101,874.385,1.02443,1.10238,1.8912,0.8942,0.85848,0.93816,0.68605,0.95009,0.74163,2.02666,0.000891022,0.000891022,0.000891022
102,881.188,1.07752,1.15206,1.90769,0.90732,0.87207,0.94771,0.68119,0.99908,0.76031,2.09414,0.000888822,0.000888822,0.000888822
103,890.123,1.05294,1.10339,1.91576,0.87381,0.88098,0.94267,0.69728,0.97168,0.74017,2.05187,0.000886622,0.000886622,0.000886622
104,899.108,1.06184,1.13185,1.91806,0.929,0.847,0.95421,0.71048,0.94529,0.72153,2.02257,0.000884423,0.000884423,0.000884423
105,907.946,1.07454,1.12713,1.93004,0.91237,0.84501,0.94519,0.69801,0.96735,0.73043,2.04633,0.000882223,0.000882223,0.000882223
106,916.509,1.07648,1.13085,1.92256,0.91599,0.88287,0.9539,0.7005,0.94178,0.71069,1.98788,0.000880023,0.000880023,0.000880023
107,924.763,1.06322,1.12112,1.91259,0.8846,0.86783,0.94031,0.68524,0.9852,0.75592,2.0749,0.000877823,0.000877823,0.000877823
108,932.891,1.0499,1.12358,1.87855,0.9263,0.88334,0.95637,0.70158,0.95112,0.73382,2.0199,0.000875624,0.000875624,0.000875624
109,943.121,1.06044,1.10307,1.89323,0.87677,0.881,0.94774,0.70269,0.9251,0.72551,1.98519,0.000873424,0.000873424,0.000873424
110,953.53,1.03942,1.10086,1.90229,0.9311,0.87909,0.9516,0.68794,0.99608,0.75934,2.10149,0.000871224,0.000871224,0.000871224
111,963.566,1.0594,1.0884,1.89507,0.87409,0.90453,0.94974,0.70682,0.94492,0.72644,2.01674,0.000869024,0.000869024,0.000869024
112,973.514,1.06299,1.08044,1.89991,0.87271,0.89196,0.94283,0.69843,0.96674,0.72323,2.03899,0.000866824,0.000866824,0.000866824
113,983.493,1.06715,1.09028,1.90348,0.89366,0.87522,0.9461,0.70189,0.94722,0.72279,2.01477,0.000864625,0.000864625,0.000864625
114,991.229,1.03534,1.06509,1.87145,0.89466,0.86943,0.95193,0.71509,0.8969,0.72374,1.96199,0.000862425,0.000862425,0.000862425
115,996.565,1.06306,1.10173,1.88903,0.87247,0.89707,0.9446,0.69442,0.9539,0.72875,2.05392,0.000860225,0.000860225,0.000860225
