epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,1280.98,0.60427,0.38315,1.10059,0.941,0.95381,0.98565,0.84562,0.67517,0.35563,1.15656,0.000829428,0.000829428,0.000829428
130,1290.6,0.63053,0.42183,1.10685,0.95002,0.95171,0.98151,0.83511,0.66248,0.34709,1.16584,0.000827228,0.000827228,0.000827228
131,1300.46,0.61366,0.397,1.11042,0.95878,0.97728,0.98404,0.82321,0.71339,0.34212,1.22538,0.000825029,0.000825029,0.000825029
132,1310.44,0.61276,0.3793,1.10682,0.97947,0.96508,0.98805,0.85058,0.62839,0.31007,1.12618,0.000822829,0.000822829,0.000822829
133,1320.12,0.59154,0.36923,1.08703,0.97162,0.982,0.98527,0.84297,0.65367,0.30528,1.1416,0.000820629,0.000820629,0.000820629
134,1329.71,0.62644,0.38729,1.11924,0.97704,0.9621,0.98823,0.85091,0.62708,0.3103,1.10885,0.000818429,0.000818429,0.000818429
135,1339.38,0.59995,0.36261,1.09983,0.98454,0.9781,0.98623,0.85406,0.63093,0.294,1.11262,0.000816229,0.000816229,0.000816229
136,1349.05,0.59802,0.38583,1.09869,0.97686,0.97817,0.9864,0.85413,0.62349,0.30502,1.10811,0.00081403,0.00081403,0.00081403
137,1358.86,0.62081,0.39125,1.10487,0.94871,0.94955,0.97082,0.82163,0.66479,0.39149,1.15074,0.00081183,0.00081183,0.00081183
138,1368.7,0.57546,0.35754,1.0763,0.97325,0.98395,0.98785,0.86237,0.61604,0.29577,1.11403,0.00080963,0.00080963,0.00080963
139,1378.43,0.57819,0.3605,1.0767,0.98956,0.98171,0.98733,0.85898,0.60254,0.27294,1.1038,0.00080743,0.00080743,0.00080743
140,1388.11,0.60172,0.37933,1.09532,0.99214,0.98401,0.99001,0.86186,0.6301,0.28238,1.12399,0.000805231,0.000805231,0.000805231
141,1397.84,0.58871,0.36173,1.09692,0.97968,0.97513,0.98869,0.85694,0.62982,0.28411,1.11507,0.000803031,0.000803031,0.000803031
142,1407.66,0.59032,0.36784,1.08707,0.96892,0.9816,0.98848,0.82905,0.69351,0.31527,1.20995,0.000800831,0.000800831,0.000800831
